x-axis,1,2
second,Volt,Volt
-2.500000E-03,-1.073527604E+00,-13.631909637E+00
-2.497500E-03,-1.128803986E+00,-13.669598079E+00
-2.495000E-03,-967.999967E-03,-13.569095566E+00
-2.492500E-03,-912.723586E-03,-13.669598079E+00
-2.490000E-03,-912.723586E-03,-13.569095566E+00
-2.487500E-03,-832.321577E-03,-13.506281495E+00
-2.485000E-03,-832.321577E-03,-13.707286522E+00
-2.482500E-03,-832.321577E-03,-13.506281495E+00
-2.480000E-03,-751.919568E-03,-13.631909637E+00
-2.477500E-03,-751.919568E-03,-13.531407123E+00
-2.475000E-03,-701.668312E-03,-13.707286522E+00
-2.472500E-03,-661.467307E-03,-13.669598079E+00
-2.470000E-03,-591.115549E-03,-13.631909637E+00
-2.467500E-03,-525.788917E-03,-13.707286522E+00
-2.465000E-03,-565.989921E-03,-13.707286522E+00
-2.462500E-03,-591.115549E-03,-13.707286522E+00
-2.460000E-03,-510.713540E-03,-13.707286522E+00
-2.457500E-03,-500.663289E-03,-13.669598079E+00
-2.455000E-03,-324.783894E-03,-13.631909637E+00
-2.452500E-03,-284.582889E-03,-13.506281495E+00
-2.450000E-03,-349.909522E-03,-13.707286522E+00
-2.447500E-03,-269.507512E-03,-13.732412150E+00
-2.445000E-03,-244.381885E-03,-13.569095566E+00
-2.442500E-03,-204.180880E-03,-13.669598079E+00
-2.440000E-03,-189.105503E-03,-13.707286522E+00
-2.437500E-03,-108.703494E-03,-13.669598079E+00
-2.435000E-03,-83.577866E-03,-13.569095566E+00
-2.432500E-03,-98.653243E-03,-13.506281495E+00
-2.430000E-03,-28.301485E-03,-13.569095566E+00
-2.427500E-03,+37.025148E-03,-13.631909637E+00
-2.425000E-03,+21.949771E-03,-13.707286522E+00
-2.422500E-03,+37.025148E-03,-13.707286522E+00
-2.420000E-03,+132.502533E-03,-13.506281495E+00
-2.417500E-03,+62.150775E-03,-13.707286522E+00
-2.415000E-03,+132.502533E-03,-13.631909637E+00
-2.412500E-03,+197.829166E-03,-13.707286522E+00
-2.410000E-03,+263.155798E-03,-13.569095566E+00
-2.407500E-03,+278.231175E-03,-13.531407123E+00
-2.405000E-03,+318.432180E-03,-13.631909637E+00
-2.402500E-03,+358.633184E-03,-13.531407123E+00
-2.400000E-03,+373.708561E-03,-13.506281495E+00
-2.397500E-03,+454.110570E-03,-13.669598079E+00
-2.395000E-03,+454.110570E-03,-13.506281495E+00
-2.392500E-03,+519.437203E-03,-13.669598079E+00
-2.390000E-03,+504.361826E-03,-13.506281495E+00
