x-axis    1    2
second    Volt    Volt
+9.51700000E-03        
+9.51705000E-03        
+9.51710000E-03        
+9.51715000E-03    -40.20100459E-03    -46.48241156E-03
+9.51720000E-03    -51.50753714E-03    -35.17587902E-03
+9.51725000E-03    -60.30150689E-03    -36.43216041E-03
+9.51730000E-03    -75.37688361E-03    -40.20100459E-03
+9.51735000E-03    -46.48241156E-03    -40.20100459E-03
+9.51740000E-03    -60.30150689E-03    -40.20100459E-03
+9.51745000E-03    -42.71356738E-03    -56.53266271E-03
+9.51750000E-03    -41.45728599E-03    -40.20100459E-03
+9.51755000E-03    -52.76381853E-03    -32.66331623E-03
+9.51760000E-03    -40.20100459E-03    -43.96984878E-03
+9.51765000E-03    -40.20100459E-03    -42.71356738E-03
+9.51770000E-03    -41.45728599E-03    -40.20100459E-03
+9.51775000E-03    -52.76381853E-03    -46.48241156E-03
+9.51780000E-03    -51.50753714E-03    -47.73869296E-03
+9.51785000E-03    -60.30150689E-03    -40.20100459E-03
+9.51790000E-03    -40.20100459E-03    -41.45728599E-03
+9.51795000E-03    -46.48241156E-03    -45.22613017E-03
+9.51800000E-03    -60.30150689E-03    -31.40703484E-03
+9.51805000E-03    -42.71356738E-03    -22.61306508E-03
+9.51810000E-03    -41.45728599E-03    -40.20100459E-03
+9.51815000E-03    -60.30150689E-03    -40.20100459E-03
+9.51820000E-03    -60.30150689E-03    -40.20100459E-03
+9.51825000E-03    -60.30150689E-03    -40.20100459E-03
+9.51830000E-03    -20.10050230E-03    -40.20100459E-03
+9.51835000E-03    -26.38190927E-03    -40.20100459E-03
+9.51840000E-03    -40.20100459E-03    -40.20100459E-03
+9.51845000E-03    -22.61306508E-03    -40.20100459E-03
+9.51850000E-03    -41.45728599E-03    -40.20100459E-03
+9.51855000E-03    -52.76381853E-03    -40.20100459E-03
+9.51860000E-03    -27.63819066E-03    -40.20100459E-03
+9.51865000E-03    -36.43216041E-03    -40.20100459E-03
+9.51870000E-03    -40.20100459E-03    -40.20100459E-03
+9.51875000E-03    -40.20100459E-03    -32.66331623E-03
+9.51880000E-03    -40.20100459E-03    -20.10050230E-03
+9.51885000E-03    -56.53266271E-03    -36.43216041E-03
+9.51890000E-03    -57.78894410E-03    -40.20100459E-03
+9.51895000E-03    -40.20100459E-03    -32.66331623E-03
+9.51900000E-03    -40.20100459E-03    -31.40703484E-03
+9.51905000E-03    -40.20100459E-03    -22.61306508E-03
+9.51910000E-03    -57.78894410E-03    -20.10050230E-03
+9.51915000E-03    -40.20100459E-03    -20.10050230E-03
